Uniprot.accession,Gene.symbol,Description,tissue,Variable,Value,transporter,mito,meta,edge,rhea,reactome,TCDB,edge_type,Outlier
Q6PF93,PIK3C3,Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Mus musculus OX=10090 GN=Pik3c3 PE=1 SV=1,liver,L-Aspartic acid,0.0925,no,no,no,PIK3C3_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q91X83,MAT1A,S-adenosylmethionine synthase isoform type-1 OS=Mus musculus OX=10090 GN=Mat1a PE=1 SV=1,liver,L-Aspartic acid,-0.146230087,no,no,yes,MAT1A_L-Aspartic acid,NA,NA,NA,newfound,Normal
A0A0J9YUI8,GCKR,Glucokinase regulatory protein OS=Mus musculus OX=10090 GN=Gckr PE=1 SV=1,liver,L-Aspartic acid,-0.0873,no,no,no,GCKR_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q99MR1,GIGYF1,GRB10-interacting GYF protein 1 OS=Mus musculus OX=10090 GN=Gigyf1 PE=1 SV=2,liver,L-Aspartic acid,0.124062099,no,no,no,GIGYF1_L-Aspartic acid,NA,NA,NA,newfound,Normal
A0A338P6N4,CRYBG3,Beta/gamma crystallin domain-containing protein 3 OS=Mus musculus OX=10090 GN=Crybg3 PE=1 SV=1,liver,L-Aspartic acid,0.0256,no,no,no,CRYBG3_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q9WUM3,CORO1B,Coronin-1B OS=Mus musculus OX=10090 GN=Coro1b PE=1 SV=1,liver,L-Aspartic acid,0.421815018,no,no,no,CORO1B_L-Aspartic acid,NA,NA,NA,newfound,Extreme Outlier
P57716,NCSTN,Nicastrin OS=Mus musculus OX=10090 GN=Ncstn PE=1 SV=3,liver,L-Aspartic acid,0.0816,yes,no,no,NCSTN_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q91ZP3,LPIN1,Phosphatidate phosphatase LPIN1 OS=Mus musculus OX=10090 GN=Lpin1 PE=1 SV=1,liver,L-Aspartic acid,-0.168856174,no,no,yes,LPIN1_L-Aspartic acid,NA,NA,NA,newfound,Normal
P60521,GABARAPL2,Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Mus musculus OX=10090 GN=Gabarapl2 PE=1 SV=1,liver,L-Aspartic acid,0.0208,no,no,no,GABARAPL2_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q8BT14-3,CNOT4,Isoform 3 of CCR4-NOT transcription complex subunit 4 OS=Mus musculus OX=10090 GN=Cnot4,liver,L-Aspartic acid,0.0057,no,no,no,CNOT4_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q91VD9,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs1 PE=1 SV=2",liver,L-Aspartic acid,-0.096,no,yes,yes,NDUFS1_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q60838,DVL2,Segment polarity protein dishevelled homolog DVL-2 OS=Mus musculus OX=10090 GN=Dvl2 PE=1 SV=2,liver,L-Aspartic acid,0.0192,no,no,no,DVL2_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q91Y74,ST3GAL4,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 OS=Mus musculus OX=10090 GN=St3gal4 PE=1 SV=1",liver,L-Aspartic acid,0.127614463,no,no,no,ST3GAL4_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q61334,BCAP29,B-cell receptor-associated protein 29 OS=Mus musculus OX=10090 GN=Bcap29 PE=1 SV=1,liver,L-Aspartic acid,0.0173,yes,no,no,BCAP29_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q8K2I3,FMO2,Dimethylaniline monooxygenase [N-oxide-forming] 2 OS=Mus musculus OX=10090 GN=Fmo2 PE=1 SV=3,liver,L-Aspartic acid,-0.0484,no,no,no,FMO2_L-Aspartic acid,NA,NA,NA,newfound,Normal
P03911,MTND4,NADH-ubiquinone oxidoreductase chain 4 OS=Mus musculus OX=10090 GN=Mtnd4 PE=1 SV=1,liver,L-Aspartic acid,-0.13340121,no,no,no,MTND4_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q99J93,IFITM2,Interferon-induced transmembrane protein 2 OS=Mus musculus OX=10090 GN=Ifitm2 PE=1 SV=1,liver,L-Aspartic acid,0.00263,yes,no,no,IFITM2_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q8R0J7,VPS37B,Vacuolar protein sorting-associated protein 37B OS=Mus musculus OX=10090 GN=Vps37b PE=1 SV=1,liver,L-Aspartic acid,0.0292,no,no,no,VPS37B_L-Aspartic acid,NA,NA,NA,newfound,Normal
P27786,CYP17A1,"Steroid 17-alpha-hydroxylase/17,20 lyase OS=Mus musculus OX=10090 GN=Cyp17a1 PE=1 SV=1",liver,L-Aspartic acid,-2.52e-4,no,no,yes,CYP17A1_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q99M07,COA5,Cytochrome c oxidase assembly factor 5 OS=Mus musculus OX=10090 GN=Coa5 PE=1 SV=1,liver,L-Aspartic acid,-0.0512,no,yes,no,COA5_L-Aspartic acid,NA,NA,NA,newfound,Normal
Q8K0D5,GFM1,"Elongation factor G, mitochondrial OS=Mus musculus OX=10090 GN=Gfm1 PE=1 SV=1",liver,Benzoic acid,0.263472152,no,yes,no,GFM1_Benzoic acid,NA,NA,NA,newfound,Normal
Q61941,NNT,"NAD(P) transhydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Nnt PE=1 SV=2",liver,Benzoic acid,-0.00857,no,yes,yes,NNT_Benzoic acid,NA,NA,NA,newfound,Normal
Q6PFA2,CLTA,Clathrin light chain OS=Mus musculus OX=10090 GN=Clta PE=1 SV=1,liver,Benzoic acid,0.0353,yes,no,no,CLTA_Benzoic acid,NA,NA,NA,newfound,Normal
Q64FW2,RETSAT,"All-trans-retinol 13,14-reductase OS=Mus musculus OX=10090 GN=Retsat PE=1 SV=3",liver,Benzoic acid,-0.0582,no,no,no,RETSAT_Benzoic acid,NA,NA,NA,newfound,Normal
P97366,EVI5,Ecotropic viral integration site 5 protein OS=Mus musculus OX=10090 GN=Evi5 PE=1 SV=2,liver,Benzoic acid,0.0451,no,no,no,EVI5_Benzoic acid,NA,NA,NA,newfound,Normal
Q3V2R3,CHN2,Chimaerin OS=Mus musculus OX=10090 GN=Chn2 PE=1 SV=1,liver,Benzoic acid,-0.155899772,no,no,no,CHN2_Benzoic acid,NA,NA,NA,newfound,Normal
Q91W34,RUSF1,RUS family member 1 OS=Mus musculus OX=10090 GN=Rusf1 PE=1 SV=1,liver,Benzoic acid,0.0322,no,no,no,RUSF1_Benzoic acid,NA,NA,NA,newfound,Normal
Q8C7J6,KCTD12B,Potassium channel tetramerisation domain-containing 12b OS=Mus musculus OX=10090 GN=Kctd12b PE=1 SV=1,liver,Benzoic acid,0.105950492,no,no,no,KCTD12B_Benzoic acid,NA,NA,NA,newfound,Normal
Q8BFP9,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial OS=Mus musculus OX=10090 GN=Pdk1 PE=1 SV=2",liver,Benzoic acid,-0.022,no,yes,yes,PDK1_Benzoic acid,NA,NA,NA,newfound,Normal
Q9CWZ7,NAPG,Gamma-soluble NSF attachment protein OS=Mus musculus OX=10090 GN=Napg PE=1 SV=1,liver,Benzoic acid,0.0356,no,no,no,NAPG_Benzoic acid,NA,NA,NA,newfound,Normal
P57016,LAD1,Ladinin-1 OS=Mus musculus OX=10090 GN=Lad1 PE=1 SV=1,liver,Benzoic acid,-0.00382,no,no,no,LAD1_Benzoic acid,NA,NA,NA,newfound,Normal
Q9DCL9,PAICS,Multifunctional protein ADE2 OS=Mus musculus OX=10090 GN=Paics PE=1 SV=4,liver,Benzoic acid,0.0306,no,yes,yes,PAICS_Benzoic acid,NA,NA,NA,newfound,Normal
Q3UEI1,PDE4C,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C OS=Mus musculus OX=10090 GN=Pde4c PE=1 SV=1",liver,Benzoic acid,0.0624,no,no,yes,PDE4C_Benzoic acid,NA,NA,NA,newfound,Normal
Q8C863,ITCH,E3 ubiquitin-protein ligase Itchy OS=Mus musculus OX=10090 GN=Itch PE=1 SV=2,liver,Benzoic acid,0.159504769,no,no,no,ITCH_Benzoic acid,NA,NA,NA,newfound,Normal
P61406,SMG6,Telomerase-binding protein EST1A OS=Mus musculus OX=10090 GN=Smg6 PE=1 SV=1,liver,Benzoic acid,0.423192449,no,no,no,SMG6_Benzoic acid,NA,NA,NA,newfound,Extreme Outlier
Q91WG0,CES2C,Acylcarnitine hydrolase OS=Mus musculus OX=10090 GN=Ces2c PE=1 SV=1,liver,Benzoic acid,-0.0231,no,no,yes,CES2C_Benzoic acid,NA,NA,NA,newfound,Normal
Q60991,CYP7B1,Cytochrome P450 7B1 OS=Mus musculus OX=10090 GN=Cyp7b1 PE=1 SV=2,liver,Benzoic acid,0.00384,no,no,yes,CYP7B1_Benzoic acid,NA,NA,NA,newfound,Normal
Q9EQ08,SGSH,Heparan N-sulfatase OS=Mus musculus OX=10090 GN=Sgsh PE=1 SV=1,liver,Benzoic acid,0.0618,no,no,no,SGSH_Benzoic acid,NA,NA,NA,newfound,Normal
E9PYD1,FAM98C,"Family with sequence similarity 98, member C OS=Mus musculus OX=10090 GN=Fam98c PE=1 SV=1",liver,Benzoic acid,-0.166153577,no,no,no,FAM98C_Benzoic acid,NA,NA,NA,newfound,Normal
Q9EQ06,HSD17B11,Estradiol 17-beta-dehydrogenase 11 OS=Mus musculus OX=10090 GN=Hsd17b11 PE=1 SV=1,liver,Benzoic acid,-0.021,no,no,yes,HSD17B11_Benzoic acid,NA,NA,NA,newfound,Normal
Q8BSY0,ASPH,Aspartyl/asparaginyl beta-hydroxylase OS=Mus musculus OX=10090 GN=Asph PE=1 SV=1,liver,Benzoic acid,0.140227364,yes,no,no,ASPH_Benzoic acid,NA,NA,NA,newfound,Normal
Q08122-4,TLE3,Isoform 4 of Transducin-like enhancer protein 3 OS=Mus musculus OX=10090 GN=Tle3,liver,Benzoic acid,-0.189341666,no,no,no,TLE3_Benzoic acid,NA,NA,NA,newfound,Normal
Q91X97,NCALD,Neurocalcin-delta OS=Mus musculus OX=10090 GN=Ncald PE=1 SV=4,liver,Benzoic acid,-0.0244,no,no,no,NCALD_Benzoic acid,NA,NA,NA,newfound,Normal
E9Q7E2,ARID2,AT-rich interactive domain-containing protein 2 OS=Mus musculus OX=10090 GN=Arid2 PE=1 SV=1,liver,Benzoic acid,-0.00295,no,no,no,ARID2_Benzoic acid,NA,NA,NA,newfound,Normal
Q99JG3,ANXA13,Annexin A13 OS=Mus musculus OX=10090 GN=Anxa13 PE=1 SV=3,liver,Benzoic acid,0.112925441,no,no,no,ANXA13_Benzoic acid,NA,NA,NA,newfound,Normal
Q9EPL9,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3 OS=Mus musculus OX=10090 GN=Acox3 PE=1 SV=2,liver,Benzoic acid,0.0739,no,no,yes,ACOX3_Benzoic acid,NA,NA,NA,newfound,Normal
Q0VEE6,ZNF800,Zinc finger protein 800 OS=Mus musculus OX=10090 GN=Znf800 PE=1 SV=1,liver,Benzoic acid,-0.0405,no,no,no,ZNF800_Benzoic acid,NA,NA,NA,newfound,Normal
P35917,FLT4,Vascular endothelial growth factor receptor 3 OS=Mus musculus OX=10090 GN=Flt4 PE=1 SV=1,liver,Benzoic acid,-0.0573,yes,no,no,FLT4_Benzoic acid,NA,NA,NA,newfound,Normal
Q0GNC1,INF2,Inverted formin-2 OS=Mus musculus OX=10090 GNNaN2 PE=1 SV=1,liver,Benzoic acid,-0.0381,no,no,no,INF2_Benzoic acid,NA,NA,NA,newfound,Normal
Q923T9,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Mus musculus OX=10090 GN=Camk2g PE=1 SV=1,liver,Benzoic acid,-0.113401803,yes,no,no,CAMK2G_Benzoic acid,NA,NA,NA,newfound,Normal
O89106,FHIT,Bis(5'-adenosyl)-triphosphatase OS=Mus musculus OX=10090 GN=Fhit PE=1 SV=3,liver,Benzoic acid,-0.0518,no,yes,yes,FHIT_Benzoic acid,NA,NA,NA,newfound,Normal
Q9D0K1,PEX13,Peroxisomal membrane protein PEX13 OS=Mus musculus OX=10090 GN=Pex13 PE=1 SV=1,liver,Benzoic acid,-0.0751,yes,no,no,PEX13_Benzoic acid,NA,NA,NA,newfound,Normal
Q9QYK5,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1 OS=Mus musculus OX=10090 GN=Hs6st1 PE=1 SV=4,liver,Benzoic acid,0.00765,no,no,no,HS6ST1_Benzoic acid,NA,NA,NA,newfound,Normal
D3Z7Q2,SMIM20,Small integral membrane protein 20 OS=Mus musculus OX=10090 GN=Smim20 PE=1 SV=1,liver,Benzoic acid,-0.245430993,no,yes,no,SMIM20_Benzoic acid,NA,NA,NA,newfound,Normal
Q5FWI3,CEMIP2,Cell surface hyaluronidase OS=Mus musculus OX=10090 GN=Cemip2 PE=1 SV=1,liver,Benzoic acid,-0.234532388,no,no,no,CEMIP2_Benzoic acid,NA,NA,NA,newfound,Normal
P48776,TDO2,"Tryptophan 2,3-dioxygenase OS=Mus musculus OX=10090 GN=Tdo2 PE=1 SV=2",liver,Benzoic acid,0.0495,no,no,yes,TDO2_Benzoic acid,NA,NA,NA,newfound,Normal
Q8BUE4,AIFM2,Ferroptosis suppressor protein 1 OS=Mus musculus OX=10090 GN=Aifm2 PE=1 SV=1,liver,Benzoic acid,-0.0727,no,yes,yes,AIFM2_Benzoic acid,NA,NA,NA,newfound,Normal
P11352,GPX1,Glutathione peroxidase 1 OS=Mus musculus OX=10090 GN=Gpx1 PE=1 SV=2,liver,Benzoic acid,0.419677369,no,yes,yes,GPX1_Benzoic acid,NA,NA,NA,newfound,Extreme Outlier
Q5SF07,IGF2BP2,Insulin-like growth factor 2 mRNA-binding protein 2 OS=Mus musculus OX=10090 GN=Igf2bp2 PE=1 SV=1,liver,Benzoic acid,0.0232,no,no,no,IGF2BP2_Benzoic acid,NA,NA,NA,newfound,Normal
Q9QZC8,ABHD1,Protein ABHD1 OS=Mus musculus OX=10090 GN=Abhd1 PE=1 SV=2,liver,Benzoic acid,-0.00284,no,no,yes,ABHD1_Benzoic acid,NA,NA,NA,newfound,Normal
Q9QZ85,IIGP1,Interferon-inducible GTPase 1 OS=Mus musculus OX=10090 GN=Iigp1 PE=1 SV=2,liver,Benzoic acid,6.76e-4,no,no,no,IIGP1_Benzoic acid,NA,NA,NA,newfound,Normal
Q6GV12,KDSR,3-ketodihydrosphingosine reductase OS=Mus musculus OX=10090 GN=Kdsr PE=1 SV=1,liver,Benzoic acid,-0.0587,no,no,yes,KDSR_Benzoic acid,NA,NA,NA,newfound,Normal
P26443,GLUD1,"Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus OX=10090 GN=Glud1 PE=1 SV=1",liver,Benzoic acid,0.083,no,yes,yes,GLUD1_Benzoic acid,NA,NA,NA,newfound,Normal
Q9CX34,SUGT1,Protein SGT1 homolog OS=Mus musculus OX=10090 GN=Sugt1 PE=1 SV=3,liver,Benzoic acid,-0.0179,no,no,no,SUGT1_Benzoic acid,NA,NA,NA,newfound,Normal
Q91WM2,HDHD5,Haloacid dehalogenase-like hydrolase domain-containing 5 OS=Mus musculus OX=10090 GN=Hdhd5 PE=1 SV=1,liver,Benzoic acid,0.113428979,no,yes,no,HDHD5_Benzoic acid,NA,NA,NA,newfound,Normal
Q8K4L3,SVIL,Supervillin OS=Mus musculus OX=10090 GN=Svil PE=1 SV=1,liver,Benzoic acid,0.261826193,no,no,no,SVIL_Benzoic acid,NA,NA,NA,newfound,Normal
Q8BSE0,RMDN2,Regulator of microtubule dynamics protein 2 OS=Mus musculus OX=10090 GN=Rmdn2 PE=1 SV=1,liver,Benzoic acid,-0.026,no,no,no,RMDN2_Benzoic acid,NA,NA,NA,newfound,Normal
Q9QVP9,PTK2B,Protein-tyrosine kinase 2-beta OS=Mus musculus OX=10090 GN=Ptk2b PE=1 SV=2,liver,Benzoic acid,-0.0542,no,no,no,PTK2B_Benzoic acid,NA,NA,NA,newfound,Normal
P11152,LPL,Lipoprotein lipase OS=Mus musculus OX=10090 GN=Lpl PE=1 SV=3,liver,Benzoic acid,0.294052649,no,no,yes,LPL_Benzoic acid,NA,NA,NA,newfound,Normal
Q9ER73,ELP4,Elongator complex protein 4 OS=Mus musculus OX=10090 GN=Elp4 PE=1 SV=2,liver,Benzoic acid,0.278371923,no,no,no,ELP4_Benzoic acid,NA,NA,NA,newfound,Normal
Q3UFF7,LYPLAL1,Lysophospholipase-like protein 1 OS=Mus musculus OX=10090 GN=Lyplal1 PE=1 SV=3,liver,Benzoic acid,0.0109,no,yes,yes,LYPLAL1_Benzoic acid,NA,NA,NA,newfound,Normal
E9Q3V2,SLC35A3,UDP-N-acetylglucosamine transporter (Fragment) OS=Mus musculus OX=10090 GN=Slc35a3 PE=1 SV=1,liver,Benzoic acid,0.0723,yes,no,no,SLC35A3_Benzoic acid,NA,NA,NA,newfound,Normal
Q8BGJ9-3,U2AF1L4,Isoform 3 of Splicing factor U2AF 26 kDa subunit OS=Mus musculus OX=10090 GN=U2af1l4,liver,Benzoic acid,-0.0124,no,no,no,U2AF1L4_Benzoic acid,NA,NA,NA,newfound,Normal
Q5RIM6,NCOR1,Nuclear receptor corepressor 1 OS=Mus musculus OX=10090 GN=Ncor1 PE=1 SV=1,liver,Benzoic acid,-0.00546,no,no,no,NCOR1_Benzoic acid,NA,NA,NA,newfound,Normal
Q60994,ADIPOQ,Adiponectin OS=Mus musculus OX=10090 GN=Adipoq PE=1 SV=2,liver,Benzoic acid,0.044,yes,no,no,ADIPOQ_Benzoic acid,NA,NA,NA,newfound,Normal
O54782,MAN2B2,Epididymis-specific alpha-mannosidase OS=Mus musculus OX=10090 GN=Man2b2 PE=1 SV=2,liver,Benzoic acid,0.0248,no,no,no,MAN2B2_Benzoic acid,NA,NA,NA,newfound,Normal
P48760-4,FPGS,"Isoform 4 of Folylpolyglutamate synthase, mitochondrial OS=Mus musculus OX=10090 GN=Fpgs",liver,Benzoic acid,-0.0303,no,yes,yes,FPGS_Benzoic acid,NA,NA,NA,newfound,Normal
Q9CR39,WDR45B,WD repeat domain phosphoinositide-interacting protein 3 OS=Mus musculus OX=10090 GN=Wdr45b PE=1 SV=2,liver,Benzoic acid,0.0371,no,no,no,WDR45B_Benzoic acid,NA,NA,NA,newfound,Normal
O88531,PPT1,Palmitoyl-protein thioesterase 1 OS=Mus musculus OX=10090 GN=Ppt1 PE=1 SV=2,liver,Benzoic acid,0.0351,no,no,no,PPT1_Benzoic acid,NA,NA,NA,newfound,Normal
Q8BUY5,TIMMDC1,"Complex I assembly factor TIMMDC1, mitochondrial OS=Mus musculus OX=10090 GN=Timmdc1 PE=1 SV=1",liver,Benzoic acid,-0.077,no,yes,no,TIMMDC1_Benzoic acid,NA,NA,NA,newfound,Normal
Q9QYF1,RDH11,Retinol dehydrogenase 11 OS=Mus musculus OX=10090 GN=Rdh11 PE=1 SV=2,liver,Benzoic acid,-0.00742,no,no,yes,RDH11_Benzoic acid,NA,NA,NA,newfound,Normal
Q9CXN7,PBLD2,Phenazine biosynthesis-like domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pbld2 PE=1 SV=1,liver,Benzoic acid,0.0187,no,no,no,PBLD2_Benzoic acid,NA,NA,NA,newfound,Normal
Q9Z0K8,VNN1,Pantetheinase OS=Mus musculus OX=10090 GN=Vnn1 PE=1 SV=3,liver,Benzoic acid,-0.00216,no,no,no,VNN1_Benzoic acid,NA,NA,NA,newfound,Normal
Q91VU1,YIPF1,Protein YIPF1 OS=Mus musculus OX=10090 GN=Yipf1 PE=2 SV=1,liver,Benzoic acid,-0.0516,yes,no,no,YIPF1_Benzoic acid,NA,NA,NA,newfound,Normal
Q8R0J7,VPS37B,Vacuolar protein sorting-associated protein 37B OS=Mus musculus OX=10090 GN=Vps37b PE=1 SV=1,liver,Benzoic acid,-0.12663219,no,no,no,VPS37B_Benzoic acid,NA,NA,NA,newfound,Normal
Q8R3Q6,CCDC58,Coiled-coil domain-containing protein 58 OS=Mus musculus OX=10090 GN=Ccdc58 PE=1 SV=1,liver,Benzoic acid,0.0164,no,yes,no,CCDC58_Benzoic acid,NA,NA,NA,newfound,Normal
Q9JHJ3,GLMP,Glycosylated lysosomal membrane protein OS=Mus musculus OX=10090 GN=Glmp PE=1 SV=1,liver,Benzoic acid,-0.258445858,yes,no,no,GLMP_Benzoic acid,NA,NA,NA,newfound,Normal
Q8BVZ1,PLIN5,Perilipin-5 OS=Mus musculus OX=10090 GN=Plin5 PE=1 SV=1,liver,Benzoic acid,-0.0796,no,no,no,PLIN5_Benzoic acid,NA,NA,NA,newfound,Normal
Q91X83,MAT1A,S-adenosylmethionine synthase isoform type-1 OS=Mus musculus OX=10090 GN=Mat1a PE=1 SV=1,liver,L-Methionine,-0.0614,no,no,yes,MAT1A_L-Methionine,RHEA:21080,R-HSA-156581;R-HSA-1614635;R-HSA-5579024;R-MMU-156581;R-MMU-1614635,NA,established,Normal
Q9DBD0,ICA,Inhibitor of carbonic anhydrase OS=Mus musculus OX=10090 GN=Ica PE=1 SV=1,liver,L-Methionine,0.103466585,no,no,no,ICA_L-Methionine,NA,NA,NA,newfound,Normal
Q9DBB8,DHDH,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase OS=Mus musculus OX=10090 GN=Dhdh PE=1 SV=1",liver,L-Methionine,0.017,no,no,no,DHDH_L-Methionine,NA,NA,NA,newfound,Normal
P32507-2,NECTIN2,Isoform Alpha of Nectin-2 OS=Mus musculus OX=10090 GN=Nectin2,liver,L-Methionine,0.0374,no,no,no,NECTIN2_L-Methionine,NA,NA,NA,newfound,Normal
P97501,FMO3,Dimethylaniline monooxygenase [N-oxide-forming] 3 OS=Mus musculus OX=10090 GN=Fmo3 PE=1 SV=1,liver,L-Methionine,0.0304,no,no,no,FMO3_L-Methionine,NA,NA,NA,newfound,Normal
P62257,UBE2H,Ubiquitin-conjugating enzyme E2 H OS=Mus musculus OX=10090 GN=Ube2h PE=1 SV=1,liver,L-Methionine,-0.00572,no,no,no,UBE2H_L-Methionine,NA,NA,NA,newfound,Normal
P60334,CDO1,Cysteine dioxygenase type 1 OS=Mus musculus OX=10090 GN=Cdo1 PE=1 SV=1,liver,5-Aminovaleric acid,0.00603,no,no,yes,CDO1_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q8QZR1,TAT,Tyrosine aminotransferase OS=Mus musculus OX=10090 GN=Tat PE=1 SV=1,liver,5-Aminovaleric acid,0.133478621,no,no,yes,TAT_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q8R0P4,AAMDC,Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1,liver,5-Aminovaleric acid,0.0219,no,no,no,AAMDC_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q9JK42,PDK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Mus musculus OX=10090 GN=Pdk2 PE=1 SV=2",liver,5-Aminovaleric acid,-0.00865,no,yes,yes,PDK2_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q6PAM1,TXLNA,Alpha-taxilin OS=Mus musculus OX=10090 GN=Txlna PE=1 SV=1,liver,5-Aminovaleric acid,-0.0212,no,no,no,TXLNA_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q8BMQ2,GTF3C4,General transcription factor 3C polypeptide 4 OS=Mus musculus OX=10090 GN=Gtf3c4 PE=1 SV=2,liver,5-Aminovaleric acid,-1.1e-4,no,no,no,GTF3C4_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q9D753,EXOSC8,Exosome complex component RRP43 OS=Mus musculus OX=10090 GN=Exosc8 PE=1 SV=1,liver,5-Aminovaleric acid,-0.0258,no,no,no,EXOSC8_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q61153,DIO1,Type I iodothyronine deiodinase OS=Mus musculus OX=10090 GN=Dio1 PE=1 SV=3,liver,5-Aminovaleric acid,-0.0265,no,no,no,DIO1_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q9EPL9,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3 OS=Mus musculus OX=10090 GN=Acox3 PE=1 SV=2,liver,5-Aminovaleric acid,0.116993267,no,no,yes,ACOX3_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q9QXZ6,SLCO1A1,Solute carrier organic anion transporter family member 1A1 OS=Mus musculus OX=10090 GN=Slco1a1 PE=1 SV=1,liver,5-Aminovaleric acid,0.00578,no,no,no,SLCO1A1_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q06770,SERPINA6,Corticosteroid-binding globulin OS=Mus musculus OX=10090 GN=Serpina6 PE=1 SV=1,liver,5-Aminovaleric acid,0.0036,no,no,no,SERPINA6_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q91WT9,CBS,Cystathionine beta-synthase OS=Mus musculus OX=10090 GN=Cbs PE=1 SV=3,liver,5-Aminovaleric acid,0.108053979,no,no,yes,CBS_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q9Z2V4,PCK1,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] OS=Mus musculus OX=10090 GN=Pck1 PE=1 SV=1",liver,5-Aminovaleric acid,0.0439,no,no,yes,PCK1_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
O35386,PHYH,"Phytanoyl-CoA dioxygenase, peroxisomal OS=Mus musculus OX=10090 GN=Phyh PE=1 SV=1",liver,5-Aminovaleric acid,0.0122,no,yes,yes,PHYH_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
P70279,SURF6,Surfeit locus protein 6 OS=Mus musculus OX=10090 GN=Surf6 PE=1 SV=1,liver,5-Aminovaleric acid,-0.056,no,no,no,SURF6_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q9WVT6,CA14,Carbonic anhydrase 14 OS=Mus musculus OX=10090 GN=Ca14 PE=1 SV=1,liver,5-Aminovaleric acid,0.0347,no,no,no,CA14_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q9JHI7,EXOSC9,Exosome complex component RRP45 OS=Mus musculus OX=10090 GN=Exosc9 PE=1 SV=1,liver,5-Aminovaleric acid,-0.129015505,no,no,no,EXOSC9_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q80XN0,BDH1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Bdh1 PE=1 SV=2",liver,5-Aminovaleric acid,-0.0242,no,yes,yes,BDH1_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q5RIM6,NCOR1,Nuclear receptor corepressor 1 OS=Mus musculus OX=10090 GN=Ncor1 PE=1 SV=1,liver,5-Aminovaleric acid,-0.111158644,no,no,no,NCOR1_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
O35710,NOCT,Nocturnin OS=Mus musculus OX=10090 GN=Noct PE=1 SV=3,liver,5-Aminovaleric acid,0.0201,no,yes,no,NOCT_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q3UHX0,NOL8,Nucleolar protein 8 OS=Mus musculus OX=10090 GN=Nol8 PE=1 SV=2,liver,5-Aminovaleric acid,-0.026,no,no,no,NOL8_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
Q9CZG3,COMMD8,COMM domain-containing protein 8 OS=Mus musculus OX=10090 GN=Commd8 PE=1 SV=1,liver,5-Aminovaleric acid,0.15535532,no,no,no,COMMD8_5-Aminovaleric acid,NA,NA,NA,newfound,Normal
